0.679447 133 -28.768042 2.473176 161.786896 1.27 0 664
0.993992 369 184.765625 3.200402 184.262100 2.53 100.00 953
0.836897 252 106.548965 2.335037 145.469727 1.27 100.00 810
0.759864 155 -27.488190 2.594119 182.506577 2.05 0 691
0.929835 308 184.728943 2.866916 123.304298 2.31 100.00 877
0.638671 89 -64.192207 3.541341 153.233032 1.02 0 610
0.75364 183 -0.229765 2.944415 183.253357 1.28 39.68 727
0.664778 107 -45.392208 2.144380 152.407257 1.78 0 631
0.86271 271 95.652740 2.103858 175.359848 3.03 100.00 831
0.68636 124 -3.419023 2.614736 127.445778 1.26 10.02 652
0.751617 195 38.087856 1.205570 156.916763 1.02 100.00 739
0.833681 234 70.209976 2.163815 163.804276 1.29 100.00 792
0.690196 169 16.832022 3.138577 152.200256 2.55 99.73 709
0.60413 51 -102.053848 1.695203 153.063217 2.01 0 561
0.606941 69 -77.971130 2.004395 146.984756 2.05 0 585
0.719314 165 35.550388 2.012762 129.465225 2.51 100.00 700
0.778745 228 32.922077 2.420434 195.092896 2.77 100.00 776
0.894996 301 144.340149 3.080026 156.690048 1.51 100.00 867
0.832202 256 90.141335 3.461598 165.894684 4.33 100.00 810
0.752186 191 37.065788 2.382520 153.952606 1.29 100.00 739
0.691875 148 -29.669210 2.217162 177.683014 1.50 0 677
0.608381 77 -89.304024 2.961643 166.330322 .74 0 591
0.808366 229 69.353386 2.468482 159.665649 .99 100.00 774
0.625887 112 -70.805191 2.153239 182.817841 1.53 0 637
0.987466 360 174.159088 1.657344 185.848282 1.00 100.00 936
0.728408 180 -3.196850 3.594673 183.232025 3.54 14.43 719
0.696165 131 -71.247475 2.359868 202.261200 1.00 0 658
0.989412 367 176.132660 2.465672 190.883224 1.25 100.00 942
0.762097 191 3.602564 2.385366 187.412582 1.26 95.64 734
0.826449 255 59.093021 2.814949 195.927155 1.77 100.00 813
0.674232 120 -69.222511 2.708054 189.241837 2.79 0 648
0.784951 218 59.061008 2.444919 158.957748 1.56 100.00 775
0.732417 174 -20.422977 2.886821 194.444351 2.04 0 714
0.721113 129 -15.496104 3.020005 144.527573 1.02 0 660
0.777013 201 20.627907 2.040025 180.383606 1.52 100.00 746
0.664196 112 -26.321716 1.873269 138.334366 2.86 0 640
0.685574 121 -75.337593 2.343263 196.351547 1.01 0 647
0.918736 293 110.835938 2.013437 182.175156 1.03 100.00 863
0.704296 137 -47.932114 2.651801 184.951080 1.79 0 667
0.68013 104 -60.566929 1.852127 164.577316 2.30 0 628
0.737546 166 -12.835078 2.409851 178.851273 .52 .26 705
0.714608 138 -61.781818 2.332779 199.795395 2.03 0 668
0.702025 123 -40.489304 2.209814 163.504196 1.83 0 653
0.73601 173 33.933334 2.548382 139.089951 1.26 100.00 711
0.737492 158 -24.288713 2.775000 182.309784 3.05 0 693
0.748237 180 10.892105 3.757343 169.149521 2.06 100.00 720
0.730553 155 -5.925258 2.503141 160.944672 1.52 1.28 688
0.720878 151 -45.138020 2.472662 196.153564 1.28 0 686
0.755333 178 34.939789 2.905158 143.089630 .77 100.00 722
0.727873 157 -16.872726 2.461559 173.890106 1.02 .25 692
0.744381 138 -62.449871 2.532404 200.465820 2.01 0 667
0.751918 170 10.430107 2.268487 159.585968 1.06 100.00 717
0.752041 161 -10.894330 2.435029 171.911530 1.52 .25 697
0.762204 156 4.777188 3.127302 151.255066 3.33 95.49 691
0.75 151 -7.960938 1.317104 158.966385 1.28 .26 688
